Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00023203|CASTLE AFB|2007|03|15|14|48|37.3833|-120.5667|58.2|7.0||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM16-SPECI|223|ICAO-KMER|0.0|C-Calm|1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1018.3||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET047METAR KMER 151448Z 00000KT 10SM SKC 07/ A3007Y;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|15|48|37.3833|-120.5667|58.2|9.0||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM16-SPECI|223|ICAO-KMER|0.0|C-Calm|1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1019.0||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 151548Z 00000KT 10SM SKC 09/ A3009;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|16|49|37.3833|-120.5667|58.2|16.0||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM16-SPECI|223|ICAO-KMER|0.0|C-Calm|1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1019.3||1|FM16-SPECI|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 151649Z 00000KT 10SM SKC 16/ A3010;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|17|45|37.3833|-120.5667|58.2|18.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1019.3||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 151745Z 00000KT 10SM CLR 18/ A3010;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|19|00|37.3833|-120.5667|58.2|21.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1019.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 151855Z 00000KT 10SM CLR 21/ A3009;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|20|00|37.3833|-120.5667|58.2|23.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1018.3||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 151955Z 00000KT 10SM CLR 23/ A3007;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|22|50|37.3833|-120.5667|58.2|26.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1016.6||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 152250Z 00000KT 10SM SKC 26/ A3002;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|15|23|50|37.3833|-120.5667|58.2|26.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||340|N-Normal|1|FM15-METAR|223|ICAO-KMER|3.1|N-Normal|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1015.9||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 152350Z 34006KT 10SM CLR 26/ A3000;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|16|01|45|37.3833|-120.5667|58.2|22.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1015.9||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET046METAR KMER 160145Z 00000KT 10SM SKC 22/ A3000;||F||223|ICAO-KMER
USW00023203|CASTLE AFB|2007|03|16|03|45|37.3833|-120.5667|58.2|15.0||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KMER|0.0|C-Calm|1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1016.3||1|FM15-METAR|223|ICAO-KMER|||||||||||||||||||||||||||||||||||||||||||MET055METAR KMER 160345Z 00000KT 10SM CLR 15/ A3001 RMK LAST;||F||223|ICAO-KMER
