Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00023131|VICTORVILLE SO CA AP|2006|01|01|00|50|34.5833|-117.3833|879.3|12.0||1|FM15-METAR|223|ICAO-KVCV|2.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||180|N-Normal|1|FM15-METAR|223|ICAO-KVCV|4.1|N-Normal|1|FM15-METAR|223|ICAO-KVCV|7.7||1|FM15-METAR|223|ICAO-KVCV|||||||51|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1011.9||1|FM15-METAR|223|ICAO-KVCV|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KVCV|||||||SCT:04|04-Four-ok|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||MET055KVCV 010050Z 18008G15KT 10SM FEW010 SCT080 12/02 A2988;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|01|46|34.5833|-117.3833|879.3|12.0||1|FM15-METAR|223|ICAO-KVCV|8.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||270|N-Normal|1|FM15-METAR|223|ICAO-KVCV|9.8|N-Normal|1|FM15-METAR|223|ICAO-KVCV|11.3||1|FM15-METAR|223|ICAO-KVCV|||||||77|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.9||1|FM15-METAR|223|ICAO-KVCV|||||||SCT:04|04-Four-ok|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET048KVCV 010146Z 27019G22KT 10SM SCT080 12/08 A2991;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|02|45|34.5833|-117.3833|879.3|11.0||1|FM15-METAR|223|ICAO-KVCV|8.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||280|N-Normal|1|FM15-METAR|223|ICAO-KVCV|4.1|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||82|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.2||1|FM15-METAR|223|ICAO-KVCV|||||||SCT:04|04-Four-ok|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 010245Z 28008KT 10SM SCT080 11/08 A2995;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|03|50|34.5833|-117.3833|879.3|9.0||1|FM15-METAR|223|ICAO-KVCV|7.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||180|N-Normal|1|FM15-METAR|223|ICAO-KVCV|4.1|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||87|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.6||1|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||MET042KVCV 010350Z 18008KT 10SM SKC 09/07 A2996;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|14|45|34.5833|-117.3833|879.3|3.0||1|FM15-METAR|223|ICAO-KVCV|3.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KVCV|0.0|C-Calm|1|FM15-METAR|223|ICAO-KVCV|||||||||||||100|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.6||1|FM15-METAR|223|ICAO-KVCV|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 011445Z 00000KT 10SM FEW100 03/03 A2996;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|16|00|34.5833|-117.3833|879.3|6.0||1|FM15-METAR|223|ICAO-KVCV|5.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||999|C-Calm|9|FM15-METAR|223|ICAO-KVCV|0.0|C-Calm|1|FM15-METAR|223|ICAO-KVCV|||||||||||||93|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1015.6||1|FM15-METAR|223|ICAO-KVCV|||||||BKN:07|07-Seven-o|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 011556Z 00000KT 10SM BKN100 06/05 A2999;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|16|50|34.5833|-117.3833|879.3|9.0||1|FM15-METAR|223|ICAO-KVCV|8.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||140|N-Normal|1|FM15-METAR|223|ICAO-KVCV|2.1|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||94|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1015.6||1|FM15-METAR|223|ICAO-KVCV|||||||OVC:08|08-Eight-o|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 011650Z 14004KT 10SM OVC110 09/08 A2999;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|18|46|34.5833|-117.3833|879.3|13.0||1|FM15-METAR|223|ICAO-KVCV|9.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||130|N-Normal|1|FM15-METAR|223|ICAO-KVCV|6.2|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||77|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.2||1|FM15-METAR|223|ICAO-KVCV|||||||OVC:08|08-Eight-o|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 011846Z 13012KT 10SM OVC100 13/09 A2995;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|19|47|34.5833|-117.3833|879.3|14.0||1|FM15-METAR|223|ICAO-KVCV|7.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||140|N-Normal|1|FM15-METAR|223|ICAO-KVCV|4.6|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||63|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.2||1|FM15-METAR|223|ICAO-KVCV|||||||OVC:08|08-Eight-o|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET056KVCV 011947Z 14009KT 10SM OVC100 14/07 A2992 RMK PRESFR;||F||223|ICAO-KVCV
USW00023131|VICTORVILLE SO CA AP|2006|01|01|20|47|34.5833|-117.3833|879.3|13.0||1|FM15-METAR|223|ICAO-KVCV|6.0||1|FM15-METAR|223|ICAO-KVCV|||||||||||||170|N-Normal|1|FM15-METAR|223|ICAO-KVCV|4.6|N-Normal|1|FM15-METAR|223|ICAO-KVCV|||||||||||||63|Derived||FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.5||1|FM15-METAR|223|ICAO-KVCV|||||||OVC:08|08-Eight-o|4|FM15-METAR|223|ICAO-KVCV|||||||||||||||||||||||||||||||MET045KVCV 012047Z 17009KT 10SM OVC100 13/06 A2993;||F||223|ICAO-KVCV
